,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puerto ayora,39,EC,1580266934,11,-0.74,-90.35,296.48,0.89
1,thompson,90,CA,1580266874,92,55.74,-97.86,261.15,2.6
2,tasiilaq,100,GL,1580267128,86,65.61,-37.64,272.15,11.8
3,illapel,17,CL,1580267129,89,-31.63,-71.17,285.69,0.87
4,kapaa,1,US,1580266921,61,22.08,-159.32,300.15,2.6
5,coquimbo,90,CL,1580266876,82,-29.95,-71.34,291.15,2.6
6,bengkulu,100,ID,1580267133,94,-3.8,102.27,295.62,6.09
7,sakaiminato,75,JP,1580267134,71,35.55,133.23,284.15,3.6
8,saint-joseph,40,RE,1580267000,60,-21.37,55.62,296.15,3.6
9,porto novo,59,BJ,1580267137,88,6.5,2.6,297.34,2.03
10,airai,55,TL,1580267138,49,-8.93,125.41,303.21,1.74
11,chuy,0,UY,1580267139,85,-33.7,-53.46,293.5,5.94
12,mount isa,75,AU,1580267141,100,-20.73,139.5,298.15,6.2
13,plettenberg bay,100,ZA,1580267142,80,-34.05,23.37,292.92,2.06
14,katsuura,75,JP,1580267143,67,35.13,140.3,290.37,5.1
15,bitkine,0,TD,1580267144,11,11.98,18.21,290.4,3.82
16,cape town,75,ZA,1580266674,100,-33.93,18.42,293.15,3.6
17,namibe,100,AO,1580267147,77,-15.2,12.15,297.12,3.49
18,kushima,20,JP,1580267148,38,31.46,131.23,288.15,2.1
19,bathsheba,40,BB,1580267149,78,13.22,-59.52,299.15,6.7
20,hermanus,89,ZA,1580267151,98,-34.42,19.23,291.48,0.45
21,saint-philippe,40,RE,1580266873,60,-21.36,55.77,296.15,3.6
22,upernavik,74,GL,1580267153,94,72.79,-56.15,247.4,3.23
23,tarauaca,100,BR,1580267155,91,-8.16,-70.77,296.79,1.23
24,bethel,75,US,1580267156,69,41.37,-73.41,276.48,7.2
25,eravur,100,LK,1580267157,71,7.77,81.61,299.4,3.23
26,lompoc,1,US,1580267158,47,34.64,-120.46,288.15,3.6
27,portland,90,US,1580267049,87,45.52,-122.68,283.15,2.51
28,albany,90,US,1580267083,73,42.6,-73.97,272.59,4.1
29,cabo san lucas,5,MX,1580267162,72,22.89,-109.91,294.26,2.6
30,solwezi,42,ZM,1580267163,95,-12.17,26.39,288.04,0.67
31,casimiro de abreu,20,BR,1580267165,100,-22.48,-42.2,297.15,1.0
32,bluff,100,NZ,1580267166,90,-46.6,168.33,285.93,7.15
33,mataura,96,NZ,1580266888,90,-46.19,168.86,285.93,7.15
34,hilo,1,US,1580267143,51,19.73,-155.09,300.15,3.6
35,guerrero negro,0,MX,1580267170,65,27.98,-114.06,290.63,8.8
36,kathmandu,20,NP,1580266761,81,27.72,85.32,284.15,0.22
37,port elizabeth,20,ZA,1580267172,82,-33.92,25.57,292.15,5.7
38,port alfred,60,ZA,1580266880,84,-33.59,26.89,292.59,1.79
39,valdobbiadene,90,IT,1580267174,100,45.9,11.99,279.82,0.5
40,dikson,100,RU,1580266871,95,73.51,80.55,245.34,6.43
41,chake chake,65,TZ,1580267177,84,-5.25,39.77,300.5,6.01
42,ostrovnoy,18,RU,1580267178,93,68.05,39.51,257.52,1.9
43,rikitea,100,PF,1580267179,78,-23.12,-134.97,299.7,2.78
44,constitucion,10,CL,1580266894,81,-35.33,-72.42,284.95,3.27
45,avarua,84,CK,1580266933,94,-21.21,-159.78,299.15,4.1
46,nizwa,0,OM,1580266942,72,22.93,57.53,282.93,0.16
47,castro,33,BR,1580267184,99,-24.79,-50.01,290.81,2.63
48,kalemie,100,CD,1580267185,96,-5.95,29.19,290.33,0.47
49,charters towers,100,AU,1580267187,81,-20.1,146.27,299.95,5.92
50,yellowknife,90,CA,1580267188,83,62.46,-114.35,254.26,2.6
51,saint-georges,0,GD,1580267189,83,12.06,-61.75,299.47,6.91
52,dumai,100,ID,1580267191,97,1.68,101.45,295.71,2.49
53,mahebourg,20,MU,1580267192,94,-20.41,57.7,296.48,3.1
54,georgetown,20,MY,1580267193,70,5.41,100.34,303.15,6.7
55,labuhan,92,ID,1580267194,66,-6.88,112.21,303.83,1.22
56,ponta do sol,20,PT,1580267196,77,32.67,-17.1,288.15,3.1
57,arman,100,RU,1580267197,95,59.7,150.17,259.09,3.46
58,saskylakh,100,RU,1580266929,98,71.92,114.08,249.73,3.47
59,geraldton,0,AU,1580266979,61,-28.77,114.6,298.15,6.7
60,bath,40,GB,1580267025,80,51.38,-2.36,279.15,7.2
61,bambous virieux,20,MU,1580267202,94,-20.34,57.76,296.48,3.1
62,nenjiang,0,CN,1580267203,81,49.18,125.22,259.91,3.75
63,rawson,0,AR,1580266980,59,-43.3,-65.1,288.58,8.02
64,vaini,75,TO,1580266925,88,-21.2,-175.2,300.15,2.1
65,zapadnaya dvina,96,RU,1580267207,94,56.26,32.07,272.89,3.52
66,nome,1,US,1580266947,62,64.5,-165.41,247.15,2.36
67,nikolsk,100,RU,1580267210,93,53.72,46.07,266.16,5.29
68,surt,0,LY,1580267211,69,31.21,16.59,284.72,2.79
69,olga,100,RU,1580267212,89,43.74,135.29,271.81,13.33
70,husavik,90,IS,1580267213,92,66.04,-17.34,267.15,5.1
71,codrington,0,AU,1580267215,63,-38.27,141.97,293.28,1.98
72,jinja,100,UG,1580267216,99,0.44,33.2,290.8,0.77
73,pacsa,90,HU,1580267217,93,46.72,17.01,275.15,2.1
74,mount gambier,0,AU,1580267218,23,-37.83,140.77,303.15,4.1
75,magadan,75,RU,1580266962,92,59.57,150.8,259.56,0.97
76,quatre cocos,20,MU,1580266958,94,-20.21,57.76,296.48,3.1
77,ubinskoye,97,RU,1580267222,95,55.31,79.68,250.85,5.26
78,lazaro cardenas,56,MX,1580267223,71,17.96,-102.2,294.58,0.78
79,khani,75,GE,1580267224,66,41.96,42.96,280.15,3.6
80,narsaq,38,GL,1580267226,72,60.92,-46.05,263.15,2.21
81,anadyr,75,RU,1580267227,84,64.75,177.48,256.15,3.0
82,pitimbu,20,BR,1580267228,88,-7.47,-34.81,299.15,3.1
83,thenzawl,0,IN,1580267229,87,23.32,92.75,286.15,2.6
